POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,
,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
iTrek,Pioneer,1,Days,1,Days,0,65,65.80,125.02,125.02,57.40,109.06,109.06,41.50,78.85,78.85
iTrek,Pioneer,2,Days,2,Days,0,65,65.80,125.02,125.02,57.40,109.06,109.06,41.50,78.85,78.85
iTrek,Pioneer,3,Days,3,Days,0,65,66.50,126.35,126.35,58.30,110.77,110.77,43.00,81.70,81.70
iTrek,Pioneer,4,Days,4,Days,0,65,71.30,135.47,135.47,60.20,114.38,114.38,44.40,84.36,84.36
iTrek,Pioneer,5,Days,5,Days,0,65,76.00,144.40,144.40,62.00,117.80,117.80,46.50,88.35,88.35
iTrek,Pioneer,6,Days,6,Days,0,65,81.70,155.23,155.23,64.90,123.31,123.31,48.50,92.15,92.15
iTrek,Pioneer,7,Days,7,Days,0,65,83.60,158.84,158.84,67.70,128.63,128.63,49.50,94.05,94.05
iTrek,Pioneer,8,Days,8,Days,0,65,85.90,163.21,163.21,71.40,135.66,135.66,51.50,97.85,97.85
iTrek,Pioneer,9,Days,9,Days,0,65,89.30,169.67,169.67,74.30,141.17,141.17,52.50,99.75,99.75
iTrek,Pioneer,10,Days,10,Days,0,65,91.20,173.28,173.28,77.10,146.49,146.49,54.50,103.55,103.55
iTrek,Pioneer,11,Days,11,Days,0,65,95.00,180.50,180.50,79.90,151.81,151.81,55.60,105.64,105.64
iTrek,Pioneer,12,Days,12,Days,0,65,98.80,187.72,187.72,82.70,157.13,157.13,56.60,107.54,107.54
iTrek,Pioneer,13,Days,13,Days,0,65,100.70,191.33,191.33,85.50,162.45,162.45,58.60,111.34,111.34
iTrek,Pioneer,14,Days,14,Days,0,65,105.50,200.45,200.45,88.40,167.96,167.96,60.60,115.14,115.14
iTrek,Pioneer,15,Days,15,Days,0,65,112.10,212.99,212.99,92.10,174.99,174.99,66.70,126.73,126.73
iTrek,Pioneer,16,Days,16,Days,0,65,114.00,216.60,216.60,95.90,182.21,182.21,67.70,128.63,128.63
iTrek,Pioneer,17,Days,17,Days,0,65,115.90,220.21,220.21,99.60,189.24,189.24,68.70,130.53,130.53
iTrek,Pioneer,18,Days,18,Days,0,65,121.60,231.04,231.04,103.40,196.46,196.46,69.70,132.43,132.43
iTrek,Pioneer,19,Days,19,Days,0,65,124.80,237.12,237.12,107.20,203.68,203.68,70.70,134.33,134.33
iTrek,Pioneer,20,Days,20,Days,0,65,127.30,241.87,241.87,109.00,207.10,207.10,72.70,138.13,138.13
iTrek,Pioneer,21,Days,21,Days,0,65,129.20,245.48,245.48,111.90,212.61,212.61,74.70,141.93,141.93
iTrek,Pioneer,22,Days,22,Days,0,65,140.60,267.14,267.14,116.60,221.54,221.54,83.20,158.08,158.08
iTrek,Pioneer,23,Days,23,Days,0,65,142.50,270.75,270.75,119.40,226.86,226.86,84.80,161.12,161.12
iTrek,Pioneer,24,Days,24,Days,0,65,146.30,277.97,277.97,122.20,232.18,232.18,84.80,161.12,161.12
iTrek,Pioneer,25,Days,25,Days,0,65,152.00,288.80,288.80,126.00,239.40,239.40,86.90,165.11,165.11
iTrek,Pioneer,26,Days,26,Days,0,65,157.70,299.63,299.63,129.70,246.43,246.43,87.90,167.01,167.01
iTrek,Pioneer,27,Days,27,Days,0,65,161.50,306.85,306.85,133.50,253.65,253.65,89.90,170.81,170.81
iTrek,Pioneer,28,Days,28,Days,0,65,164.40,312.36,312.36,137.20,260.68,260.68,94.90,180.31,180.31
iTrek,Pioneer,29,Days,29,Days,0,65,172.90,328.51,328.51,141.00,267.90,267.90,101.00,191.90,191.90
iTrek,Pioneer,30,Days,30,Days,0,65,174.80,332.12,332.12,144.80,275.12,275.12,102.00,193.80,193.80
iTrek,Pioneer,31,Days,31,Days,0,65,176.70,335.73,335.73,148.50,282.15,282.15,103.00,195.70,195.70
iTrek,Pioneer,32,Days,32,Days,0,65,179.90,341.81,341.81,152.30,289.37,289.37,104.00,197.60,197.60
iTrek,Pioneer,33,Days,33,Days,0,65,183.40,348.46,348.46,156.00,296.40,296.40,105.00,199.50,199.50
iTrek,Pioneer,34,Days,34,Days,0,65,186.20,353.78,353.78,159.60,303.24,303.24,109.10,207.29,207.29
iTrek,Pioneer,35,Days,35,Days,0,65,191.50,363.85,363.85,163.40,310.46,310.46,113.10,214.89,214.89
iTrek,Pioneer,36,Days,36,Days,0,65,209.00,397.10,397.10,170.10,323.19,323.19,117.20,222.68,222.68
iTrek,Pioneer,37,Days,37,Days,0,65,212.80,404.32,404.32,171.10,325.09,325.09,119.20,226.48,226.48
iTrek,Pioneer,38,Days,38,Days,0,65,216.60,411.54,411.54,174.70,331.93,331.93,121.20,230.28,230.28
iTrek,Pioneer,39,Days,39,Days,0,65,218.50,415.15,415.15,178.60,339.34,339.34,123.20,234.08,234.08
iTrek,Pioneer,40,Days,40,Days,0,65,220.40,418.76,418.76,182.40,346.56,346.56,125.20,237.88,237.88
iTrek,Pioneer,41,Days,41,Days,0,65,224.20,425.98,425.98,186.10,353.59,353.59,127.30,241.87,241.87
iTrek,Pioneer,42,Days,42,Days,0,65,231.80,440.42,440.42,189.90,360.81,360.81,131.30,249.47,249.47
